fk_skus,fk-jc-1-2,JC-1.2,,0.0,0.0,135.21,0.0,0.15,587.0,2.0,19234.0
fk_skus,fk-dn-8-red,DN-8-RED,,0.0,0.0,-184.82,0.0,0.8,296.0,1.0,502.0
fk_skus,fk-j11---j13,J11 - J13,,0.0,0.0,206.79,0.0,1.02,292.0,1.0,26493.0
fk_skus,bangle4,BANGLE-4,,0.0,0.0,0.0,0.0,0.61,268.0,1.0,29024.0
fk_skus,fk-dn-5-purple,DN-5-PURPLE,,0.0,0.0,-185.26,0.0,0.1,249.0,1.0,984.0
fk_skus,fk-coin-pearl-choker--1,COIN PEARL CHOKER (1),,0.0,0.0,0.0,0.0,0.65,271.0,1.0,9266.0
fk_skus,fk-lakshmi-ji-jhumka,Lakshmi ji Jhumka,,0.0,0.0,163.04,0.0,0.05,444.0,1.0,44732.0
fk_skus,fk-oe-11-bahubali,OE-11 Bahubali,,0.0,0.0,167.02,0.0,1.52,243.0,1.0,25434.0
fk_skus,fk-dj-2,DJ-2,,0.0,0.0,-182.9,0.0,0.71,446.0,1.0,11420.0
fk_skus,fk-dm-4-bahubali,DM-4 Bahubali,,0.0,0.0,135.21,0.0,0.06,626.0,1.0,3582.0
fk_skus,fk-pmc14,PMC14,,0.0,0.0,0.0,0.0,0.45,203.0,1.0,30533.0
fk_skus,fk-j-7-bahubali,J-7 Bahubali,,0.0,0.0,0.0,0.0,0.19,400.0,1.0,13788.0
fk_skus,fk-oe-9-bahubali,OE-9 Bahubali,,0.0,0.0,119.3,0.0,0.39,179.0,1.0,34254.0
fk_skus,fk-oc2,OC2,,0.0,0.0,124.23,0.0,0.03,825.0,1.0,26833.0
fk_skus,fk-pmc11,PMC11,,0.0,0.0,117.31,0.0,0.05,170.0,1.0,2099.0
fk_skus,fk-yj2,YJ2,,0.0,0.0,0.0,0.0,2.87,178.0,1.0,2965.0
fk_skus,fk-dm1,DM1,,0.0,0.0,0.0,0.0,0.66,277.0,0.0,3050.0
fk_skus,fk-p-bangle-8--2-4,P BANGLE 8 (2.4),,0.0,0.0,0.0,0.0,0.26,0.0,0.0,2707.0
fk_skus,fk-dn-5-blue,DN-5-BLUE,,0.0,0.0,0.0,0.0,11.96,263.0,0.0,1471.0
fk_skus,fk-p-bangle-8--2-8,P BANGLE 8 (2.8),,0.0,0.0,0.0,0.0,0.11,0.0,0.0,2770.0
fk_skus,fk-dj-1-small,DJ-1-SMALL,,0.0,0.0,0.0,0.0,1.04,0.0,0.0,8458.0
fk_skus,fk-p-bangle-8--2-6,P BANGLE 8 (2.6),,0.0,0.0,0.0,0.0,0.34,0.0,0.0,1783.0
fk_skus,fk-4rs,4RS,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
fk_skus,fk-ath1,ATH1,,0.0,0.0,0.0,0.0,4.17,0.0,0.0,24.0
fk_skus,fk-ath2,ATH2,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
fk_skus,fk-ath5,ATH5,,0.0,0.0,0.0,0.0,4.76,0.0,0.0,21.0
fk_skus,bangle,BANGLE-5 FIVE,,0.0,0.0,0.0,0.0,3.91,0.0,0.0,1483.0
fk_skus,fk-bb2,BB2,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fk_skus,fk-bbo3,BBO3,,0.0,0.0,0.0,0.0,0.54,0.0,0.0,186.0
fk_skus,fk-bbo4,BBO4,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.0
fk_skus,fk-bracelet-2,BRACELET-2,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fk_skus,fk-dc1,DC1,,0.0,0.0,0.0,0.0,3.17,0.0,0.0,789.0
fk_skus,fk-dc2,DC2,,0.0,0.0,0.0,0.0,58.56,0.0,0.0,613.0
fk_skus,fk-dc3,DC3,,0.0,0.0,0.0,0.0,8.54,0.0,0.0,1218.0
fk_skus,fk-dj-1,DJ-1,,0.0,0.0,0.0,0.0,0.48,0.0,0.0,1873.0
fk_skus,fk-dj-13-bahubali,DJ-13 BAHUBALI,,0.0,0.0,0.0,0.0,6.34,240.0,0.0,410.0
fk_skus,dj9-fk,DJ-9,,0.0,0.0,0.0,0.0,4.22,337.0,0.0,901.0
fk_skus,fk-dn-5-pink,DN-5-PINK,,0.0,0.0,0.0,0.0,1.86,0.0,0.0,483.0
fk_skus,fk-dn-8-green,DN-8-GREEN,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,450.0
fk_skus,fk-dn-8-pink,DN-8-PINK,,0.0,0.0,0.0,0.0,1.56,0.0,0.0,384.0
fk_skus,fk-dn-8-purple,DN-8-PURPLE,,0.0,0.0,0.0,0.0,3.21,253.0,0.0,1589.0
fk_skus,fk-e-17,E-17,,0.0,0.0,0.0,0.0,0.36,0.0,0.0,4770.0
fk_skus,fk-e-26,E-26,,0.0,0.0,0.0,0.0,0.51,0.0,0.0,23349.0
fk_skus,fk-earrings-with-red---green-stone-and-pearls,Earrings With Red & Green Stone And Pearls,,0.0,0.0,0.0,0.0,1.55,0.0,0.0,8589.0
fk_skus,fk-elephant-combo,Elephant Combo,,0.0,0.0,0.0,0.0,0.87,0.0,0.0,345.0
